route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.101.1,1.101.H2740,1.101.11426484,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426490,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426492,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426498,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426504,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426486,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426488,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426494,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426496,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426500,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426502,"Collblanc",0,1.101.10501.1,1
1.11.1,1.11.H3546,1.11.11599680,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599686,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599690,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599696,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599702,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599706,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599746,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599752,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599756,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599762,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599768,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H3546,1.11.11599772,"Can Cuiàs",0,1.11.1100.1,1
